timestamp,P_aeration_kw,P_pumps_kw,P_total_kw,generation_method
2023-01-01 00:00:00,1516.6690798240202,750.0,2266.66907982402,QSDsan-BSM1
2023-01-01 01:00:00,1392.379622526832,750.0,2142.379622526832,QSDsan-BSM1
2023-01-01 02:00:00,1408.1865032537837,750.0,2158.1865032537835,QSDsan-BSM1
2023-01-01 03:00:00,1402.715381366834,750.0,2152.7153813668338,QSDsan-BSM1
2023-01-01 04:00:00,1336.9932802227956,750.0,2086.993280222796,QSDsan-BSM1
2023-01-01 05:00:00,1477.5703188504544,750.0,2227.5703188504544,QSDsan-BSM1
2023-01-01 06:00:00,1689.3348374693912,750.0,2439.3348374693915,QSDsan-BSM1
2023-01-01 07:00:00,1814.7149888692404,750.0,2564.71498886924,QSDsan-BSM1
2023-01-01 08:00:00,1901.3213819195882,750.0,2651.321381919588,QSDsan-BSM1
2023-01-01 09:00:00,1849.2709408978542,750.0,2599.2709408978544,QSDsan-BSM1
2023-01-01 10:00:00,1832.4612491601458,750.0,2582.4612491601456,QSDsan-BSM1
2023-01-01 11:00:00,1726.6167609337813,750.0,2476.6167609337813,QSDsan-BSM1
2023-01-01 12:00:00,1621.8937066375038,750.0,2371.893706637504,QSDsan-BSM1
2023-01-01 13:00:00,1630.4782738160782,750.0,2380.4782738160784,QSDsan-BSM1
2023-01-01 14:00:00,1611.8458918430836,750.0,2361.8458918430833,QSDsan-BSM1
2023-01-01 15:00:00,1600.5880814501022,750.0,2350.5880814501024,QSDsan-BSM1
2023-01-01 16:00:00,1718.2950241005578,750.0,2468.295024100558,QSDsan-BSM1
2023-01-01 17:00:00,1749.801815672347,750.0,2499.801815672347,QSDsan-BSM1
2023-01-01 18:00:00,1898.7719072572174,750.0,2648.771907257217,QSDsan-BSM1
2023-01-01 19:00:00,1893.2956500480802,750.0,2643.2956500480805,QSDsan-BSM1
2023-01-01 20:00:00,1859.5425450203802,750.0,2609.54254502038,QSDsan-BSM1
2023-01-01 21:00:00,1771.5925948734175,750.0,2521.5925948734175,QSDsan-BSM1
2023-01-01 22:00:00,1778.0387891886037,750.0,2528.038789188604,QSDsan-BSM1
2023-01-01 23:00:00,1676.1356266774505,750.0,2426.1356266774505,QSDsan-BSM1
2023-01-02 00:00:00,1487.6789743729892,750.0,2237.678974372989,QSDsan-BSM1
2023-01-02 01:00:00,1420.2097920383274,750.0,2170.2097920383276,QSDsan-BSM1
2023-01-02 02:00:00,1399.7646656576173,750.0,2149.764665657617,QSDsan-BSM1
2023-01-02 03:00:00,1380.0115153271859,750.0,2130.011515327186,QSDsan-BSM1
2023-01-02 04:00:00,1431.8559628918829,750.0,2181.855962891883,QSDsan-BSM1
2023-01-02 05:00:00,1547.2275806304488,750.0,2297.2275806304488,QSDsan-BSM1
2023-01-02 06:00:00,1770.2584432038752,750.0,2520.2584432038752,QSDsan-BSM1
2023-01-02 07:00:00,1811.5109683688415,750.0,2561.5109683688415,QSDsan-BSM1
2023-01-02 08:00:00,1881.9230488079795,750.0,2631.9230488079793,QSDsan-BSM1
2023-01-02 09:00:00,1851.2570177457687,750.0,2601.2570177457687,QSDsan-BSM1
2023-01-02 10:00:00,1822.3207519762004,750.0,2572.3207519762004,QSDsan-BSM1
2023-01-02 11:00:00,1741.0377807886537,750.0,2491.0377807886534,QSDsan-BSM1
2023-01-02 12:00:00,1615.0515746901292,750.0,2365.051574690129,QSDsan-BSM1
2023-01-02 13:00:00,1552.131894805195,750.0,2302.131894805195,QSDsan-BSM1
2023-01-02 14:00:00,1560.5175080226318,750.0,2310.517508022632,QSDsan-BSM1
2023-01-02 15:00:00,1661.343948705763,750.0,2411.343948705763,QSDsan-BSM1
2023-01-02 16:00:00,1733.6507376957939,750.0,2483.650737695794,QSDsan-BSM1
2023-01-02 17:00:00,1810.277522861852,750.0,2560.277522861852,QSDsan-BSM1
2023-01-02 18:00:00,1837.4243795934779,750.0,2587.424379593478,QSDsan-BSM1
2023-01-02 19:00:00,1904.996991858404,750.0,2654.996991858404,QSDsan-BSM1
2023-01-02 20:00:00,1872.0160728473968,750.0,2622.0160728473966,QSDsan-BSM1
2023-01-02 21:00:00,1807.9739059281746,750.0,2557.9739059281746,QSDsan-BSM1
2023-01-02 22:00:00,1764.375507132846,750.0,2514.375507132846,QSDsan-BSM1
2023-01-02 23:00:00,1691.6315258738312,750.0,2441.6315258738314,QSDsan-BSM1
2023-01-03 00:00:00,1532.328112857471,750.0,2282.328112857471,QSDsan-BSM1
2023-01-03 01:00:00,1437.340934187106,750.0,2187.340934187106,QSDsan-BSM1
2023-01-03 02:00:00,1390.3663760705945,750.0,2140.3663760705945,QSDsan-BSM1
2023-01-03 03:00:00,1390.971459352847,750.0,2140.971459352847,QSDsan-BSM1
2023-01-03 04:00:00,1357.3985364008593,750.0,2107.3985364008595,QSDsan-BSM1
2023-01-03 05:00:00,1517.5733907901163,750.0,2267.5733907901163,QSDsan-BSM1
2023-01-03 06:00:00,1666.1800636472365,750.0,2416.1800636472362,QSDsan-BSM1
2023-01-03 07:00:00,1802.6490886860288,750.0,2552.649088686029,QSDsan-BSM1
2023-01-03 08:00:00,1891.8615334288627,750.0,2641.8615334288625,QSDsan-BSM1
2023-01-03 09:00:00,1944.0556003424017,750.0,2694.0556003424017,QSDsan-BSM1
2023-01-03 10:00:00,1763.4777768235708,750.0,2513.477776823571,QSDsan-BSM1
2023-01-03 11:00:00,1735.0151500983652,750.0,2485.015150098365,QSDsan-BSM1
2023-01-03 12:00:00,1552.681589041009,750.0,2302.681589041009,QSDsan-BSM1
2023-01-03 13:00:00,1572.7215681075722,750.0,2322.7215681075722,QSDsan-BSM1
2023-01-03 14:00:00,1600.38754812275,750.0,2350.38754812275,QSDsan-BSM1
2023-01-03 15:00:00,1659.159790485424,750.0,2409.1597904854243,QSDsan-BSM1
2023-01-03 16:00:00,1732.7766819436831,750.0,2482.776681943683,QSDsan-BSM1
2023-01-03 17:00:00,1820.7125068058092,750.0,2570.7125068058094,QSDsan-BSM1
2023-01-03 18:00:00,1850.5410648108746,750.0,2600.5410648108746,QSDsan-BSM1
2023-01-03 19:00:00,1877.669331649748,750.0,2627.669331649748,QSDsan-BSM1
2023-01-03 20:00:00,1902.1137648067054,750.0,2652.113764806705,QSDsan-BSM1
2023-01-03 21:00:00,1792.004004474509,750.0,2542.004004474509,QSDsan-BSM1
2023-01-03 22:00:00,1678.9040660153619,750.0,2428.904066015362,QSDsan-BSM1
